sekce,vzdalenost_m,cas_mereni,teplota_C,tlak_hPa,oblacnost_pct,vitr,vlhkost_pct
vege,7.5,"14:42–15:27",27.6,951.2,0,"jižní, rychlost do 1,5 m/s",45
vege,15,"13:49–14:34",27.0,952.0,30,"jižní, rychlost do 2 m/s",46
vege,30,"13:00–13:43",27.3,953.0,80,"jižní, rychlost do 3 m/s",47
mimo,7.5,"13:51–14:03",1.9,937.9,100,"východní, rychlost do 3 m/s",83
mimo,15,"13:34–13:46",2.1,938.0,100,"východní, rychlost do 3 m/s",82
mimo,30,"13:14–13:27",2.3,937.9,100,"východní, rychlost do 3 m/s",83
snih,7.5,"10:50–11:01",0.4,973.8,100,"jižní, rychlost do 2 m/s",49
snih,15,"9:56–10:07",-0.9,973.4,100,"jižní, rychlost do 2 m/s",50
snih,30,"8:47–8:58",-1.9,973.3,100,"jižní, rychlost do 2 m/s",54
